A	ఆ
anukuMTAM	అనుకుంటాం
anukunnA	అనుకున్నా
anukunnAru	అనుకున్నారు
anumAnAlu	అనుమానాలు
anumatiMcAlani	అనుమతించాలని
anumatiMcaru	అనుమతించరు
anumatistAru	అనుమతిస్తారు
anumatistOMdi	అనుమతిస్తోంది
anumatistuMdi	అనుమతిస్తుంది
anumatistunnAru	అనుమతిస్తున్నారు
anunayaMgA	అనునయంగా
anupamAna	అనుపమాన
anurAga	అనురాగ
anurakti	అనురక్తి
anuvaMSika	అనువంశిక
anuvaina	అనువైన
anvEshistuMdi	అన్వేషిస్తుంది
anyOnya	అన్యోన్య
anyOnyaMgA	అన్యోన్యంగా
anyOnyamaina	అన్యోన్యమైన
anyOnyata	అన్యోన్యత
anyamArgaM	అన్యమార్గం
apOhala	అపోహల
apOhallEni	అపోహల్లేని
apOhallO	అపోహల్లో
apOhallOkI	అపోహల్లోకీ
apOhalu	అపోహలు
apUrvamaina	అపూర్వమైన
apUrvasEvA	అపూర్వసేవా
apanammakAlu	అపనమ్మకాలు
apariSubhraMgA	అపరిశుభ్రంగా
apariSubhramanna	అపరిశుభ్రమన్న
appaTi	అప్పటి
appaTikE	అప్పటికే
appaTikasalu	అప్పటికసలు
appaTiki	అప్పటికి
appaTlO	అప్పట్లో
appaTnuMcI	అప్పట్నుంచీ
appuDE	అప్పుడే
ara	అర
aracEtini	అరచేతిని
aragaMTakU	అరగంటకూ
arakora	అరకొర
aramarikalu	అరమరికలు
aravai	అరవై
arcakulu	అర్చకులు
arcanAdulni	అర్చనాదుల్ని
arcana	అర్చన
arcanalu	అర్చనలు
arciMcADani	అర్చించాడని
arciMcEMduku	అర్చించేందుకు
arciMcina	అర్చించిన
arcistU	అర్చిస్తూ
ardhAMgi	అర్ధాంగి
ardha	అర్ధ
ardhaSarIrAnni	అర్ధశరీరాన్ని
arhulaina	అర్హులైన
arka	అర్క
arpiMcAlanI	అర్పించాలనీ
arpiMcE	అర్పించే
arpistAru	అర్పిస్తారు
arthaM	అర్థం
artharahita	అర్థరహిత
arthasatyAlu	అర్థసత్యాలు
arthavaMtamaina	అర్థవంతమైన
aruMdhatI	అరుంధతీ
aruMdhati	అరుంధతి
arudEM	అరుదేం
asAdhAraNa	అసాధారణ
asaMkalpita	అసంకల్పిత
asaMtRpti	అసంతృప్తి
asabhya	అసభ్య
asabhyataku	అసభ్యతకు
asahajamU	అసహజమూ
asalu	అసలు
asamAnamaina	అసమానమైన
asatyAlu	అసత్యాలు
asaukaryaM	అసౌకర్యం
ashTAdaSa	అష్టాదశ
ashTOttara	అష్టోత్తర
ashTadikpAlakulu	అష్టదిక్పాలకులు
asisTeMT	అసిస్టెంట్
asuruDu	అసురుడు
atanu	అతను
ati	అతి
atiSayamEM	అతిశయమేం
atigA	అతిగా
atikramiMcanaMta	అతిక్రమించనంత
atipedda	అతిపెద్ద
atithigRhAlu	అతిథిగృహాలు
atri	అత్రి
atyaMta	అత్యంత
atyadbhuta	అత్యద్భుత
atyadhika	అత్యధిక
atyavasara	అత్యవసర
atyavasaramaina	అత్యవసరమైన
aunnijamE	ఔన్నిజమే
aushadhaM	ఔషధం
aushadhaMgA	ఔషధంగా
avAMCita	అవాంఛిత
avE	అవే
avaSya	అవశ్య
avadhulu	అవధులు
avagAhanA	అవగాహనా
avagAhana	అవగాహన
avagAhanatO	అవగాహనతో
avakASAlU	అవకాశాలూ
avakASAlanu	అవకాశాలను
avakASAnni	అవకాశాన్ని
avakASaM	అవకాశం
avakASamuMdi	అవకాశముంది
avasarAlEMTO	అవసరాలేంటో
avasarAlanu	అవసరాలను
avasarAnni	అవసరాన్ని
avasarAnnibaTTi	అవసరాన్నిబట్టి
avasaraM	అవసరం
avasaramaina	అవసరమైన
avasaramaitE	అవసరమైతే
avasaramanE	అవసరమనే
avasaramanna	అవసరమన్న
avasaramanukuMTE	అవసరమనుకుంటే
avasaramavutAyi	అవసరమవుతాయి
avasaramuMTuMdi	అవసరముంటుంది
avasaramunnA	అవసరమున్నా
avatariMcabOtOMdi	అవతరించబోతోంది
avataristuMdanI	అవతరిస్తుందనీ
avayavAla	అవయవాల
avayavAlaku	అవయవాలకు
avayavAlatO	అవయవాలతో
avayava	అవయవ
avayavaM	అవయవం
avi	అవి
avunu	అవును
avutAyanI	అవుతాయనీ
avutAyani	అవుతాయని
avutAyanna	అవుతాయన్న
avutAyi	అవుతాయి
avutuMdi	అవుతుంది
avutunna	అవుతున్న
ayOmayaMgA	అయోమయంగా
ayi	అయి
ayiMdi	అయింది
ayidO	అయిదో
ayidu	అయిదు
ayinA	అయినా
ayina	అయిన
ayipOtuMdani	అయిపోతుందని
ayipOyiMdi	అయిపోయింది
ayitE	అయితే
ayyADu	అయ్యాడు
ayyE	అయ్యే
ayyEsariki	అయ్యేసరికి
ayyiMdi	అయ్యింది
bAMbElanu	బాంబేలను
bAMdhavyAlanu	బాంధవ్యాలను
bAMdhavya	బాంధవ్య
bAcEpallilO	బాచేపల్లిలో
bAdhE	బాధే
bAdha	బాధ
bAdhala	బాధల
bAdhalanu	బాధలను
bAdhalu	బాధలు
bAdhanu	బాధను
bAdhapaDaTaM	బాధపడటం
bAdhapaDutuMTE	బాధపడుతుంటే
bAdhistunna	బాధిస్తున్న
bAdhitula	బాధితుల
bAdhyatAyuta	బాధ్యతాయుత
bAdhyatAyutaMgA	బాధ్యతాయుతంగా
bAdhyatAyutamaina	బాధ్యతాయుతమైన
bAdhyatAyutamainadani	బాధ్యతాయుతమైనదని
bAdhyata	బాధ్యత
bAdhyatagA	బాధ్యతగా
bAdhyatalanu	బాధ్యతలను
bAdhyatalu	బాధ్యతలు
bAdhyatatO	బాధ్యతతో
bAgA	బాగా
bAgAnE	బాగానే
bAguMDAlaMTE	బాగుండాలంటే
bAguMTE	బాగుంటే
bAguMTuMdi	బాగుంటుంది
bAgunnAyA	బాగున్నాయా
bAjAlu	బాజాలు
bAlAjI	బాలాజీ
bAlyaM	బాల్యం
bAr	బార్
bArina	బారిన
bArinapaDaTaM	బారినపడటం
bArinapaDakuMDA	బారినపడకుండా
bAvi	బావి
bAvini	బావిని
bITI	బీటీ
bITIla	బీటీల
bITIlu	బీటీలు
bIai	బీఐ
bIaigA	బీఐగా
bIaiki	బీఐకి
bIailO	బీఐలో
bIbIjE	బీబీజే
bIbInAMcAri	బీబీనాంచారి
bIem	బీఎమ్
bIeph	బీఎఫ్
bIhec	బీహెచ్
bIjAlu	బీజాలు
bIpI	బీపీ
bIpIsIel	బీపీసీఎల్
bOdhana	బోధన
bOdhistunna	బోధిస్తున్న
bOleDu	బోలెడు
bOrDu	బోర్డు
bOyIlaMTAru	బోయీలంటారు
bRMdAnni	బృందాన్ని
bRgumaLla	బృగుమళ్ల
bRhat	బృహత్
bRhattara	బృహత్తర
bUTla	బూట్ల
bUtu	బూతు
baDilO	బడిలో
baDina	బడిన
baMDala	బండల
baMDarAyi	బండరాయి
baMdhAlanu	బంధాలను
baMdhAniki	బంధానికి
baMdhaM	బంధం
baMdhamE	బంధమే
baMdhanAllO	బంధనాల్లో
baMdhanAlu	బంధనాలు
baMdhumitrulatO	బంధుమిత్రులతో
baMgArAnni	బంగారాన్ని
baMgAraM	బంగారం
baMgAramainA	బంగారమైనా
baMgAru	బంగారు
baMgArutalli	బంగారుతల్లి
baTTE	బట్టే
baTTi	బట్టి
baddhakONAsanaM	బద్ధకోణాసనం
badilI	బదిలీ
baduliccEdi	బదులిచ్చేది
badulu	బదులు
bahaddUr	బహద్దూర్
bahiraMgaMgA	బహిరంగంగా
bahuLa	బహుళ
balAlU	బలాలూ
balAlanu	బలాలను
balAnikI	బలానికీ
balAniki	బలానికి
balIyamaina	బలీయమైన
balOpEtaM	బలోపేతం
balaMgA	బలంగా
balahInamavutuMdi	బలహీనమవుతుంది
balahInapaDutU	బలహీనపడుతూ
balahInata	బలహీనత
balahInatalU	బలహీనతలూ
balahInatala	బలహీనతల
balamaina	బలమైన
balapaDiMdi	బలపడింది
balaparustuMdani	బలపరుస్తుందని
balavaMtAna	బలవంతాన
balavaMtaMgA	బలవంతంగా
balkaMpETa	బల్కంపేట
balkaMpETagA	బల్కంపేటగా
balkaMpETanu	బల్కంపేటను
baruvu	బరువు
baruvunu	బరువును
basTAMDu	బస్టాండు
basacESAru	బసచేశారు
bassu	బస్సు
bassulO	బస్సులో
bassula	బస్సుల
bassulu	బస్సులు
bassulunnAyi	బస్సులున్నాయి
batikE	బతికే
bayaTakocci	బయటకొచ్చి
bayaTaku	బయటకు
bayaTapaDEMduku	బయటపడేందుకు
bayaTapaDatAyi	బయటపడతాయి
bayaTapaDiMdi	బయటపడింది
bayaTi	బయటి
bayaTiki	బయటికి
bayaldErA	బయల్దేరా
bayaldEri	బయల్దేరి
bayaldErutuMdi	బయల్దేరుతుంది
bayaldErutunnaTTu	బయల్దేరుతున్నట్టు
bayaludErADu	బయలుదేరాడు
bayaludEraDAnnE	బయలుదేరడాన్నే
bayaludEritE	బయలుదేరితే
bayalulA	బయలులా
beMbElettipOvaTaM	బెంబేలెత్తిపోవటం
beMgAl	బెంగాల్
behalUkhAn	బెహలూఖాన్
berukudanaM	బెరుకుదనం
bhAgAlakU	భాగాలకూ
bhAgAlaku	భాగాలకు
bhAgAlanu	భాగాలను
bhAgaM	భాగం
bhAgaMgA	భాగంగా
bhAgaMlO	భాగంలో
bhAgasvAmani	భాగస్వామని
bhAgasvAmi	భాగస్వామి
bhAgasvAmikI	భాగస్వామికీ
bhAgasvAmiki	భాగస్వామికి
bhAgasvAmilO	భాగస్వామిలో
bhAgasvAmini	భాగస్వామిని
bhAgasvAmitO	భాగస్వామితో
bhAgasvAmula	భాగస్వాముల
bhAgasvAmuliddarU	భాగస్వాములిద్దరూ
bhAgasvAmuliddarilO	భాగస్వాములిద్దరిలో
bhAgasvAmulu	భాగస్వాములు
bhAgasvAmyaM	భాగస్వామ్యం
bhAgyAnni	భాగ్యాన్ని
bhAgyaM	భాగ్యం
bhArI	భారీ
bhArat	భారత్
bhAratAMdhrIkaraNaku	భారతాంధ్రీకరణకు
bhAratIya	భారతీయ
bhArata	భారత
bhArataM	భారతం
bhAryatO	భార్యతో
bhAshalu	భాషలు
bhAti	భాతి
bhAvAllO	భావాల్లో
bhAvOdvEgAla	భావోద్వేగాల
bhAvOdvEgAlakU	భావోద్వేగాలకూ
bhAvOdvEgAllO	భావోద్వేగాల్లో
bhAvOdvEga	భావోద్వేగ
bhAvana	భావన
bhAvanalO	భావనలో
bhAvanalU	భావనలూ
bhAvanala	భావనల
bhAvanalanu	భావనలను
bhAvanallOkI	భావనల్లోకీ
bhAvanalu	భావనలు
bhAvananu	భావనను
bhAvanatO	భావనతో
bhAvavyaktIkaraNa	భావవ్యక్తీకరణ
bhAviMcAru	భావించారు
bhAviMcE	భావించే
bhAviMcaTaM	భావించటం
bhAviMcalEM	భావించలేం
bhAviMci	భావించి
bhAviMcina	భావించిన
bhAvistAru	భావిస్తారు
bhAvistU	భావిస్తూ
bhAvistuMTAru	భావిస్తుంటారు
bhAvistunnAru	భావిస్తున్నారు
bhAvistunnaTTu	భావిస్తున్నట్టు
bhEdaM	భేదం
bhEshajAlU	భేషజాలూ
bhImESvarAlayAniki	భీమేశ్వరాలయానికి
bhImESvarAlayaM	భీమేశ్వరాలయం
bhImESvara	భీమేశ్వర
bhImESvaramUrtini	భీమేశ్వరమూర్తిని
bhImESvarapaTTaNE	భీమేశ్వరపట్టణే
bhImESvarasvAmini	భీమేశ్వరస్వామిని
bhImESvaruDi	భీమేశ్వరుడి
bhImESvaruDikI	భీమేశ్వరుడికీ
bhImESvaruDiki	భీమేశ్వరుడికి
bhImESvaruDini	భీమేశ్వరుడిని
bhImESvaruDu	భీమేశ్వరుడు
bhImESvaruDugA	భీమేశ్వరుడుగా
bhImESvaruDulAMTi	భీమేశ్వరుడులాంటి
bhImESvaruNNi	భీమేశ్వరుణ్ణి
bhImESvarulni	భీమేశ్వరుల్ని
bhIma	భీమ
bhImakhaMDaM	భీమఖండం
bhImarUpaMlO	భీమరూపంలో
bhImasabha	భీమసభ
bhImavaraM	భీమవరం
bhImuDu	భీముడు
bhOjanAnni	భోజనాన్ని
bhOjanaM	భోజనం
bhRgu	భృగు
bhU	భూ
bhUlOkAniki	భూలోకానికి
bhUlOkaMlO	భూలోకంలో
bhUlakshmi	భూలక్ష్మి
bhUmigA	భూమిగా
bhUmini	భూమిని
bhUmipai	భూమిపై
bhUri	భూరి
bhUtO	భూతో
bhUtakAlaMlO	భూతకాలంలో
bhUtanAthuDu	భూతనాథుడు
bhUtaprEtapiSAcAdi	భూతప్రేతపిశాచాది
bhaMgaM	భంగం
bhaMgimalO	భంగిమలో
bhaMgimallO	భంగిమల్లో
bhaTTArakuDu	భట్టారకుడు
bhadratA	భద్రతా
bhadratAvalayaMlO	భద్రతావలయంలో
bhaktajanaM	భక్తజనం
bhaktajanulanU	భక్తజనులనూ
bhaktajanulu	భక్తజనులు
bhaktakOTi	భక్తకోటి
bhakti	భక్తి
bhaktiSraddhalatO	భక్తిశ్రద్ధలతో
bhaktitO	భక్తితో
bhaktula	భక్తుల
bhaktulaMdarikI	భక్తులందరికీ
bhaktulaku	భక్తులకు
bhaktulanu	భక్తులను
bhaktulni	భక్తుల్ని
bhaktulu	భక్తులు
bhalE	భలే
bharatakhaMDa	భరతఖండ
bhariMcalEni	భరించలేని
bharta	భర్త
bhartaku	భర్తకు
bhasmIpaTalaM	భస్మీపటలం
bhavishyati	భవిష్యతి
bhavishyattu	భవిష్యత్తు
bhavishyattukU	భవిష్యత్తుకూ
bhavishyattulO	భవిష్యత్తులో
bhavya	భవ్య
bhayAla	భయాల
bhayAllO	భయాల్లో
bhayAllOnU	భయాల్లోనూ
bhayAlu	భయాలు
bhayAnni	భయాన్ని
bhayaM	భయం
bhayaMtOnE	భయంతోనే
bhayabhrAMtulaku	భయభ్రాంతులకు
bhayamEsiMdi	భయమేసింది
bhinnaMgA	భిన్నంగా
bhinnamainadi	భిన్నమైనది
bhramallOnU	భ్రమల్లోనూ
bhujaskaMdAlapai	భుజస్కందాలపై
biDiyaM	బిడియం
bigapaTTi	బిగపట్టి
bikanEr	బికనేర్
biliyan	బిలియన్
boDipellO	బొడిపెల్లో
boDipelu	బొడిపెలు
boTana	బొటన
bommala	బొమ్మల
bommalakU	బొమ్మలకూ
bommalu	బొమ్మలు
bommanu	బొమ్మను
brAhmaNuDi	బ్రాహ్మణుడి
brAlanu	బ్రాలను
brAlu	బ్రాలు
brAnu	బ్రాను
brahmAMDE	బ్రహ్మాండే
brahmAMDaMlO	బ్రహ్మాండంలో
brahmE	బ్రహ్మే
brahmOtsavAlU	బ్రహ్మోత్సవాలూ
brahmOtsavAla	బ్రహ్మోత్సవాల
brahmOtsavAlaku	బ్రహ్మోత్సవాలకు
brahmOtsavAllO	బ్రహ్మోత్సవాల్లో
brahmOtsavAlu	బ్రహ్మోత్సవాలు
brahma	బ్రహ్మ
brahmadEvuni	బ్రహ్మదేవుని
brahmaku	బ్రహ్మకు
brahmatO	బ్రహ్మతో
bretiMg	బ్రెతింగ్
briTIshu	బ్రిటీషు
buddhinI	బుద్ధినీ
buk	బుక్
bukiMg	బుకింగ్
burra	బుర్ర
burrallO	బుర్రల్లో
burranu	బుర్రను
byAMk	బ్యాంక్
byAMkiMg	బ్యాంకింగ్
byAMku	బ్యాంకు
byAMkula	బ్యాంకుల
